##event_type	event_id	chr	strand	e1	e2	e3	e4	alt_transcript_supports	event_coordinate
AFE	chr1:+:CAPN2:AFE:0	chr1	+	223889295:223889533	223900119:223900579	223905464:223905533	N/A	NM_001146068,NM_001748	chr1:223889295-223905533
CAS	chr1:+:CAPN9:CAS:0	chr1	+	230907760:230907845	230910300:230910377	230914719:230914879	N/A	NM_016452,NM_006615	chr1:230907760-230914879
AFE	chr1:-:CAPZB:AFE:0	chr1	-	19811930:19812135	19810684:19811201	19746155:19746244	N/A	NM_001206540,NM_001282162;NM_004930,NM_001282162	chr1:19746155-19812135
A5SS	chr1:-:CASP9:A5SS:0	chr1	-	15844745:15844890	15844605:15844890	15834368:15834402	N/A	NR_102733,NM_001229;NR_102733,NM_032996;NR_102733,NR_102732	chr1:15834368-15844890
A3SS	chr1:-:CASP9:A3SS:0	chr1	-	15834368:15834402	15833394:15833628	15833394:15833570	N/A	NM_001229,NR_102732;NM_032996,NR_102732;NR_102733,NR_102732	chr1:15833394-15834402
AFE	chr1:-:CASP9:AFE:0	chr1	-	15851078:15851285	15850564:15850940	15844605:15844890	N/A	NM_032996,NM_001229;NM_032996,NM_001278054;NM_032996,NR_102732	chr1:15844605-15851285
CAS	chr1:-:CCBL2:CAS:0	chr1	-	89458268:89458643	89453935:89454034	89435092:89435150	N/A	NM_001008662,NM_001008661	chr1:89435092-89458643
CAS	chr1:-:CCDC163P:CAS:0	chr1	-	45962228:45962295	45961090:45961217	45959598:45960838	N/A	NR_033296,NR_033297;NR_033296,NR_033298	chr1:45959598-45962295
CAS	chr1:-:CCDC163P:CAS:1	chr1	-	45965017:45965115	45962971:45963055	45962228:45962295	N/A	NR_033297,NR_033296;NR_033297,NR_033298	chr1:45962228-45965115
A3SS	chr1:-:CCDC17:A3SS:0	chr1	-	46089229:46089324	46088889:46089111	46088889:46089084	N/A	NM_001190182,NM_001114938	chr1:46088889-46089324
A3SS	chr1:+:CD101:A3SS:0	chr1	+	117552472:117552852	117554172:117554588	117554358:117554588	N/A	NM_001256111,NM_001256106;NM_001256111,NM_001256109;NM_001256111,NM_004258	chr1:117552472-117554588
A5SS	chr1:+:CD1E:A5SS:0	chr1	+	158325617:158325730	158325617:158325791	158326288:158326381	N/A	NM_001042585,NM_001042584;NM_001042585,NM_001042587;NM_001185108,NM_001042584;NM_001185108,NM_001042587;NM_001185110,NM_001042584;NM_001185110,NM_001042587;NM_001185113,NM_001042584;NM_001185113,NM_001042587	chr1:158325617-158326381
A5SS	chr1:+:CD1E:A5SS:1	chr1	+	158325617:158325730	158325617:158325895	158326288:158326381	N/A	NM_001042585,NM_001042583;NM_001042585,NM_001042586;NM_001042585,NM_001185107;NM_001042585,NM_001185112;NM_001042585,NM_001185114;NM_001042585,NM_001185115;NM_001042585,NM_030893;NM_001185108,NM_001042583;NM_001185108,NM_001042586;NM_001185108,NM_001185107;NM_001185108,NM_001185112;NM_001185108,NM_001185114;NM_001185108,NM_001185115;NM_001185108,NM_030893;NM_001185110,NM_001042583;NM_001185110,NM_001042586;NM_001185110,NM_001185107;NM_001185110,NM_001185112;NM_001185110,NM_001185114;NM_001185110,NM_001185115;NM_001185110,NM_030893;NM_001185113,NM_001042583;NM_001185113,NM_001042586;NM_001185113,NM_001185107;NM_001185113,NM_001185112;NM_001185113,NM_001185114;NM_001185113,NM_001185115;NM_001185113,NM_030893	chr1:158325617-158326381
A5SS	chr1:+:CD1E:A5SS:2	chr1	+	158325617:158325791	158325617:158325895	158326288:158326381	N/A	NM_001042584,NM_001042583;NM_001042584,NM_001042586;NM_001042584,NM_001185107;NM_001042584,NM_001185112;NM_001042584,NM_001185114;NM_001042584,NM_001185115;NM_001042584,NM_030893;NM_001042587,NM_001042583;NM_001042587,NM_001042586;NM_001042587,NM_001185107;NM_001042587,NM_001185112;NM_001042587,NM_001185114;NM_001042587,NM_001185115;NM_001042587,NM_030893	chr1:158325617-158326381
A3SS	chr1:-:CD244:A3SS:0	chr1	-	160811374:160811691	160811000:160811290	160811000:160811275	N/A	NM_016382,NM_001166663	chr1:160811000-160811691
A3SS	chr1:-:CD247:A3SS:0	chr1	-	167407807:167407887	167404636:167404671	167404636:167404668	N/A	NM_000734,NM_198053	chr1:167404636-167407887
CAS	chr1:+:CD55:CAS:0	chr1	+	207512742:207512762	207513736:207513853	207532891:207534311	N/A	NM_000574,NM_001114752	chr1:207512742-207534311
A3SS	chr1:-:CD58:A3SS:0	chr1	-	117064528:117064605	117061853:117061924	117061853:117061889	N/A	NM_001779,NR_026665	chr1:117061853-117064605
CAS	chr1:-:CD84:CAS:0	chr1	-	160549182:160549306	160535194:160535535	160523685:160523936	N/A	NM_001184882,NM_001184879;NM_001184882,NM_001184881;NM_001184882,NM_003874	chr1:160523685-160549306
CAS	chr1:+:CDC42:CAS:0	chr1	+	22379120:22379235	22400587:22400712	22404922:22405076	N/A	NM_001791,NM_001039802;NM_044472,NM_001039802	chr1:22379120-22405076
ALE	chr1:+:CDC42:ALE:0	chr1	+	22413162:22413359	22416436:22417296	22417921:22419436	N/A	NM_001039802,NM_044472;NM_001791,NM_044472	chr1:22413162-22419436
CAS	chr1:-:CDC42BPA:CAS:0	chr1	-	227307505:227307638	227300372:227300614	227300013:227300123	N/A	NM_014826,NM_003607	chr1:227300013-227307638
CAS	chr1:-:CDC42SE1:CAS:0	chr1	-	151031955:151032125	151029127:151029262	151028153:151028469	N/A	NM_020239,NM_001038707	chr1:151028153-151032125
A3SS	chr1:+:CDC7:A3SS:0	chr1	+	91966404:91966505	91967211:91967388	91967245:91967388	N/A	NM_001134419,NM_003503	chr1:91966404-91967388
AFE	chr1:+:CDC7:AFE:0	chr1	+	91966404:91966505	91966665:91966860	91967211:91967388	N/A	NM_003503,NM_001134420	chr1:91966404-91967388
A5SS	chr1:-:CDK11A:A5SS:0	chr1	-	1650797:1650894	1650767:1650894	1647785:1647917	N/A	NM_033529,NM_024011	chr1:1647785-1650894
CAS	chr1:-:CDK11B:CAS:0	chr1	-	1654147:1654271	1654027:1654073	1653035:1653150	N/A	NM_001291345,NM_033489;NM_001787,NM_033489;NM_033486,NM_033489;NM_033487,NM_033489;NM_033490,NM_033489	chr1:1653035-1654271
A5SS	chr1:-:CDK11B:A5SS:0	chr1	-	1577747:1577869	1577708:1577869	1577267:1577362	N/A	NM_001291345,NM_001787;NM_033486,NM_001787;NM_033489,NM_001787;NM_033490,NM_001787	chr1:1577267-1577869
A5SS	chr1:-:CDK11B:A5SS:1	chr1	-	1650797:1650894	1650767:1650894	1647785:1647917	N/A	NM_001291345,NM_001787;NM_001291345,NM_033486;NM_001291345,NM_033487;NM_001291345,NM_033489;NM_001291345,NM_033490	chr1:1647785-1650894
A5SS	chr1:+:CDK18:A5SS:0	chr1	+	205492611:205492753	205492611:205492843	205493360:205493485	N/A	NM_002596,NM_212503;NM_212502,NM_212503	chr1:205492611-205493485
CAS	chr1:-:CELF3:CAS:0	chr1	-	151679983:151680124	151679621:151679770	151679145:151679210	N/A	NM_001172649,NM_001172648;NM_001172649,NM_001291106;NM_001172649,NM_001291107;NM_001172649,NM_007185	chr1:151679145-151680124
A3SS	chr1:-:CELF3:A3SS:0	chr1	-	151679145:151679210	151678700:151678837	151678700:151678834	N/A	NM_001291106,NM_001172648;NM_001291106,NM_001172649;NM_001291106,NM_001291107;NM_001291106,NM_007185	chr1:151678700-151679210
A3SS	chr1:-:CELF3:A3SS:1	chr1	-	151682219:151682267	151681696:151681824	151681696:151681821	N/A	NM_001291107,NM_001172648;NM_001291107,NM_001172649;NM_001291107,NM_001291106;NM_001291107,NM_007185	chr1:151681696-151682267
CAS	chr1:-:CENPL:CAS:0	chr1	-	173776405:173776656	173775577:173775714	173772101:173772643	N/A	NM_001171182,NM_001127181;NM_033319,NM_001127181	chr1:173772101-173776656
CAS	chr1:-:CEP170:CAS:0	chr1	-	243349561:243349724	243349081:243349374	243335999:243336148	N/A	NM_001042404,NM_014812;NM_001042405,NM_014812	chr1:243335999-243349724
A5SS	chr1:-:CEP170:A5SS:0	chr1	-	243305618:243305765	243305588:243305765	243303239:243303409	N/A	NM_001042404,NM_001042405;NM_014812,NM_001042405	chr1:243303239-243305765
A3SS	chr1:-:CEP170:A3SS:0	chr1	-	243327586:243329418	243319523:243319757	243319523:243319649	N/A	NM_001042405,NM_001042404;NM_001042405,NM_014812	chr1:243319523-243329418
AFE	chr1:+:CEPT1:AFE:0	chr1	+	111682249:111682383	111682833:111682929	111690264:111690675	N/A	NM_001007794,NM_006090	chr1:111682249-111690675
A3SS	chr1:-:CERS2:A3SS:0	chr1	-	150947095:150947479	150941394:150941607	150941394:150941567	N/A	NM_022075,NM_181746	chr1:150941394-150947479
CAS	chr1:+:CFHR3:CAS:0	chr1	+	196748927:196749103	196757346:196757528	196759175:196759357	N/A	NM_001166624,NM_021023	chr1:196748927-196759357
A3SS	chr1:+:CFHR4:A3SS:0	chr1	+	196857144:196857338	196871548:196871745	196871551:196871745	N/A	NM_001201551,NM_001201550;NM_001201551,NM_006684	chr1:196857144-196871745
A3SS	chr1:+:CHD1L:A3SS:0	chr1	+	146724278:146724390	146726525:146726631	146726553:146726631	N/A	NM_024568,NM_004284;NM_024568,NR_046070	chr1:146724278-146726631
AFE	chr1:+:CHI3L2:AFE:0	chr1	+	111770281:111770391	111772333:111772503	111773364:111773565	N/A	NM_001025197,NM_001025199	chr1:111770281-111773565
A3SS	chr1:-:CHIT1:A3SS:0	chr1	-	203188344:203188457	203186867:203186993	203186867:203186906	N/A	NM_001270509,NM_001256125;NM_001270509,NM_003465;NM_001270509,NR_045785	chr1:203186867-203188457
A3SS	chr1:+:CHTOP:A3SS:0	chr1	+	153610771:153610924	153614719:153614905	153614722:153614905	N/A	NM_015607,NM_001206612	chr1:153610771-153614905
CAS	chr1:+:CLCA4:CAS:0	chr1	+	87025894:87026041	87029344:87029452	87030957:87031134	N/A	NR_024602,NM_012128	chr1:87025894-87031134
A3SS	chr1:-:CLCC1:A3SS:0	chr1	-	109490233:109490340	109486458:109486679	109486458:109486529	N/A	NM_015127,NM_001048210	chr1:109486458-109490340
A3SS	chr1:-:CLCC1:A3SS:1	chr1	-	109505983:109506121	109492931:109493070	109492931:109493060	N/A	NM_001048210,NM_015127	chr1:109492931-109506121
CAS	chr1:+:CLCN6:CAS:0	chr1	+	11867188:11867247	11875903:11875968	11876672:11876737	N/A	NM_001256959,NM_001286;NM_001256959,NR_046428	chr1:11867188-11876737
CAS	chr1:+:CLCNKA:CAS:0	chr1	+	16350295:16350423	16351258:16351386	16352603:16352742	N/A	NM_001257139,NM_001042704;NM_001257139,NM_004070	chr1:16350295-16352742
A3SS	chr1:+:CLCNKA:A3SS:0	chr1	+	16358698:16358786	16358938:16359021	16358941:16359021	N/A	NM_001042704,NM_001257139;NM_001042704,NM_004070	chr1:16358698-16359021
A3SS	chr1:+:CLCNKB:A3SS:0	chr1	+	16381930:16382018	16382170:16382253	16382173:16382253	N/A	NM_001165945,NM_000085	chr1:16381930-16382253
A3SS	chr1:-:CLK2:A3SS:0	chr1	-	155239279:155239507	155238499:155238586	155238499:155238583	N/A	NM_003993,NM_001294338	chr1:155238499-155239507
CAS	chr1:-:CLSPN:CAS:0	chr1	-	36225943:36226517	36219346:36219537	36216851:36217107	N/A	NM_001190481,NM_022111	chr1:36216851-36226517
CAS	chr1:-:CLSTN1:CAS:0	chr1	-	9833330:9833452	9816539:9816568	9815172:9815367	N/A	NM_014944,NM_001009566	chr1:9815172-9833452
A3SS	chr1:+:CNIH4:A3SS:0	chr1	+	224553581:224553693	224558985:224559125	224559032:224559125	N/A	NM_001277198,NM_001277199;NM_001277198,NM_001277200;NM_001277198,NM_014184;NM_001277198,NR_102347	chr1:224553581-224559125
ALE	chr1:+:CNIH4:ALE:0	chr1	+	224558985:224559125	224563497:224564586	224566771:224567153	N/A	NM_001277200,NM_001277199;NM_001277200,NM_014184;NM_001277200,NR_102347	chr1:224558985-224567153
CAS	chr1:-:CNN3:CAS:0	chr1	-	95368678:95368744	95367677:95367814	95367225:95367341	N/A	NM_001286055,NM_001286056;NM_001286055,NM_001839	chr1:95367225-95368744
AFE	chr1:-:CNN3:AFE:0	chr1	-	95392394:95392779	95391189:95391364	95368959:95369080	N/A	NM_001286055,NM_001286056;NM_001839,NM_001286056	chr1:95368959-95392779
AFE	chr1:+:COA6:AFE:0	chr1	+	234509214:234509424	234509429:234509586	234509976:234510135	N/A	NM_001206641,NM_001012985	chr1:234509214-234510135
A3SS	chr1:+:COG2:A3SS:0	chr1	+	230823817:230823889	230824166:230824308	230824169:230824308	N/A	NM_001145036,NM_007357	chr1:230823817-230824308
A5SS	chr1:-:COL8A2:A5SS:0	chr1	-	36565796:36565859	36565651:36565859	36560837:36565088	N/A	NM_001294347,NM_005202	chr1:36560837-36565859
A3SS	chr1:-:COPA:A3SS:0	chr1	-	160275478:160275563	160275223:160275388	160275223:160275361	N/A	NM_004371,NM_001098398	chr1:160275223-160275563
CAS	chr1:+:CR2:CAS:0	chr1	+	207646117:207646524	207646890:207647066	207647146:207647230	N/A	NM_001877,NM_001006658	chr1:207646117-207647230
A5SS	chr1:+:CRB1:A5SS:0	chr1	+	197411296:197411422	197411296:197411664	197446794:197447585	N/A	NM_001193640,NR_047564;NM_001257965,NR_047564;NM_001257966,NR_047564;NM_201253,NR_047564;NR_047563,NR_047564	chr1:197411296-197447585
A5SS	chr1:+:CREB3L4:A5SS:0	chr1	+	153940998:153941115	153940998:153941175	153941406:153941652	N/A	NM_001255980,NM_001255978;NM_001255980,NM_001255979;NM_001255980,NM_130898;NM_001255981,NM_001255978;NM_001255981,NM_001255979;NM_001255981,NM_130898	chr1:153940998-153941652
AFE	chr1:+:CREB3L4:AFE:0	chr1	+	153940315:153940640	153940675:153940786	153940998:153941115	N/A	NM_001255980,NM_001255981	chr1:153940315-153941115
AFE	chr1:+:CREB3L4:AFE:1	chr1	+	153940315:153940640	153940675:153940786	153940998:153941175	N/A	NM_001255978,NM_001255979;NR_045658,NM_001255979	chr1:153940315-153941175
AFE	chr1:+:CREB3L4:AFE:2	chr1	+	153940315:153940660	153940675:153940786	153940998:153941175	N/A	NM_130898,NM_001255979	chr1:153940315-153941175
CAS	chr1:-:CRYZ:CAS:0	chr1	-	75175782:75175931	75172787:75172888	75172583:75172678	N/A	NM_001130043,NM_001130042;NM_001130043,NM_001134759;NM_001130043,NM_001889	chr1:75172583-75175931
CAS	chr1:-:CRYZ:CAS:1	chr1	-	75188802:75188954	75184893:75185056	75180263:75180314	N/A	NM_001134759,NM_001130042;NM_001134759,NM_001130043;NM_001134759,NM_001889	chr1:75180263-75188954
CAS	chr1:-:CSDE1:CAS:0	chr1	-	115280584:115280693	115280092:115280184	115279379:115279476	N/A	NM_001130523,NM_001007553;NM_001130523,NM_001242891;NM_001130523,NM_001242892;NM_001242893,NM_001007553;NM_001242893,NM_001242891;NM_001242893,NM_001242892;NM_007158,NM_001007553;NM_007158,NM_001242891;NM_007158,NM_001242892	chr1:115279379-115280693
A3SS	chr1:+:CSF1:A3SS:0	chr1	+	110464469:110464616	110465788:110466812	110466682:110466812	N/A	NM_172211,NM_000757;NM_172211,NM_172212	chr1:110464469-110466812
ALE	chr1:+:CSF1:ALE:0	chr1	+	110467769:110467824	110468685:110469365	110471474:110473616	N/A	NM_000757,NM_172212;NM_172211,NM_172212	chr1:110467769-110473616
CAS	chr1:-:CSMD2:CAS:0	chr1	-	34076641:34076850	34071463:34071588	34070882:34071070	N/A	NM_001281956,NM_052896	chr1:34070882-34076850
A3SS	chr1:-:CSMD2:A3SS:0	chr1	-	34034974:34035147	34033193:34033441	34033193:34033366	N/A	NM_052896,NM_001281956	chr1:34033193-34035147
AFE	chr1:-:CSMD2:AFE:0	chr1	-	34631348:34631443	34630512:34630875	34554578:34554794	N/A	NM_052896,NM_001281956	chr1:34554578-34631443
A5SS	chr1:-:CSRP1:A5SS:0	chr1	-	201458001:201458112	201457983:201458112	201454411:201454504	N/A	NM_001193570,NM_001193571;NM_001193570,NM_001193572;NM_001193570,NM_004078	chr1:201454411-201458112
AFE	chr1:-:CSRP1:AFE:0	chr1	-	201475752:201475967	201465550:201465701	201465320:201465432	N/A	NM_001193571,NM_001193572	chr1:201465320-201475967
AFE	chr1:-:CSRP1:AFE:1	chr1	-	201476198:201476387	201465550:201465701	201465320:201465432	N/A	NM_001193570,NM_001193572;NM_004078,NM_001193572	chr1:201465320-201476387
AFE	chr1:-:CSRP1:AFE:2	chr1	-	201476198:201476387	201475752:201475967	201465320:201465432	N/A	NM_001193570,NM_001193571;NM_004078,NM_001193571	chr1:201465320-201476387
CAS	chr1:+:CTH:CAS:0	chr1	+	70881639:70881720	70883620:70883715	70887249:70887358	N/A	NM_001190463,NM_001902;NM_001190463,NM_153742	chr1:70881639-70887358
CAS	chr1:+:CTH:CAS:1	chr1	+	70887249:70887358	70889968:70890099	70895477:70895534	N/A	NM_153742,NM_001190463;NM_153742,NM_001902	chr1:70887249-70895534
CAS	chr1:-:CTNNBIP1:CAS:0	chr1	-	9970153:9970316	9943763:9943796	9937963:9938047	N/A	NM_001012329,NM_020248	chr1:9937963-9970316
CAS	chr1:+:CTSE:CAS:0	chr1	+	206327474:206327596	206328719:206328860	206328962:206329060	N/A	NM_148964,NM_001910	chr1:206327474-206329060
CAS	chr1:-:CTSS:CAS:0	chr1	-	150730334:150730456	150727477:150727626	150724257:150724484	N/A	NM_001199739,NM_004079	chr1:150724257-150730456
A3SS	chr1:+:CYP4B1:A3SS:0	chr1	+	47279154:47279278	47279581:47279735	47279584:47279735	N/A	NM_000779,NM_001099772	chr1:47279154-47279735
CAS	chr1:+:DCAF6:CAS:0	chr1	+	167921038:167921099	167935867:167935959	167944068:167944253	N/A	NM_001198957,NM_001017977;NM_001198957,NM_001198956;NM_001198957,NM_018442	chr1:167921038-167944253
CAS	chr1:+:DCAF6:CAS:1	chr1	+	168014138:168014465	168020130:168020171	168032859:168032997	N/A	NM_001017977,NM_001198956;NM_001017977,NM_001198957;NM_018442,NM_001198956;NM_018442,NM_001198957	chr1:168014138-168032997
CAS	chr1:+:DCST1:CAS:0	chr1	+	155006911:155007036	155007129:155007203	155011879:155012007	N/A	NM_001143687,NM_152494	chr1:155006911-155012007
CAS	chr1:+:DDR2:CAS:0	chr1	+	162625001:162625164	162674842:162674921	162688827:162688935	N/A	NM_006182,NM_001014796	chr1:162625001-162688935
AFE	chr1:-:DEDD:AFE:0	chr1	-	161102341:161102478	161102181:161102256	161100605:161100637	N/A	NM_032998,NM_001039712	chr1:161100605-161102478
CAS	chr1:-:DENND2C:CAS:0	chr1	-	115165608:115165720	115164516:115164686	115161007:115161103	N/A	NM_198459,NM_001256404	chr1:115161007-115165720
AFE	chr1:-:DENND2D:AFE:0	chr1	-	111746918:111747160	111743015:111743325	111742245:111742420	N/A	NM_001271833,NM_024901	chr1:111742245-111747160
CAS	chr1:-:DEPDC1:CAS:0	chr1	-	68949633:68949773	68947729:68948580	68947123:68947295	N/A	NM_017779,NM_001114120	chr1:68947123-68949773
A5SS	chr1:+:DFFB:A5SS:0	chr1	+	3775282:3775408	3775282:3775430	3782376:3782564	N/A	NM_004402,NR_104222	chr1:3775282-3782564
A3SS	chr1:+:DFFB:A3SS:0	chr1	+	3775282:3775430	3782326:3782564	3782376:3782564	N/A	NR_104222,NM_001282669	chr1:3775282-3782564
CAS	chr1:+:DHX9:CAS:0	chr1	+	182823165:182823313	182824712:182824848	182825667:182825713	N/A	NM_001357,NR_033302	chr1:182823165-182825713
A5SS	chr1:+:DISC1:A5SS:0	chr1	+	232144531:232144729	232144531:232144795	232162181:232162298	N/A	NM_001012957,NM_001164537;NM_001012957,NM_001164540;NM_001012957,NM_018662	chr1:232144531-232162298
ALE	chr1:+:DISC1:ALE:0	chr1	+	231829572:231830551	231837701:231838307	231858285:231859820	N/A	NM_001012958,NM_001164554	chr1:231829572-231859820
ALE	chr1:+:DISC1:ALE:1	chr1	+	231829572:231830551	231837701:231838307	231885672:231886365	N/A	NM_001164555,NM_001164554	chr1:231829572-231886365
ALE	chr1:+:DISC1:ALE:2	chr1	+	231829572:231830551	231858285:231859820	231885672:231886365	N/A	NM_001164555,NM_001012958	chr1:231829572-231886365
ALE	chr1:+:DISC1:ALE:3	chr1	+	231837701:231837770	231858285:231859820	231885672:231886365	N/A	NM_001164551,NM_001164553	chr1:231837701-231886365
ALE	chr1:+:DISC1:ALE:4	chr1	+	231906581:231906816	231954075:231954990	232094574:232095249	N/A	NM_001164546,NM_001164548;NM_001164546,NM_001164556	chr1:231906581-232095249
ALE	chr1:+:DISC1:ALE:5	chr1	+	231954075:231954263	231990485:231991125	232002269:232002452	N/A	NM_001012959,NM_001164539	chr1:231954075-232002452
ALE	chr1:+:DISC1:ALE:6	chr1	+	231954075:231954263	231990485:231991125	232094574:232095249	N/A	NM_001164542,NM_001164539	chr1:231954075-232095249
ALE	chr1:+:DISC1:ALE:7	chr1	+	231954075:231954263	231990485:231991125	232144531:232145400	N/A	NM_001164541,NM_001164539	chr1:231954075-232145400
ALE	chr1:+:DISC1:ALE:8	chr1	+	231954075:231954263	232002269:232002452	232094574:232095249	N/A	NM_001164542,NM_001012959	chr1:231954075-232095249
ALE	chr1:+:DISC1:ALE:9	chr1	+	231954075:231954263	232002269:232002452	232144531:232145400	N/A	NM_001164541,NM_001012959	chr1:231954075-232145400
ALE	chr1:+:DISC1:ALE:10	chr1	+	231954075:231954263	232094574:232095249	232144531:232145400	N/A	NM_001164541,NM_001164542	chr1:231954075-232145400
A3SS	chr1:+:DMAP1:A3SS:0	chr1	+	44679125:44679199	44679381:44679530	44679421:44679530	N/A	NM_001034024,NM_001034023	chr1:44679125-44679530
A3SS	chr1:+:DMBX1:A3SS:0	chr1	+	46972668:46972836	46976133:46976326	46976148:46976326	N/A	NM_172225,NM_147192	chr1:46972668-46976326
CAS	chr1:+:DNAJC16:CAS:0	chr1	+	15853308:15853453	15855583:15855767	15860732:15860798	N/A	NM_001287811,NM_015291;NM_001287811,NR_109898	chr1:15853308-15860798
A5SS	chr1:+:DNAJC16:A5SS:0	chr1	+	15892577:15892675	15892577:15892905	15893594:15893764	N/A	NM_001287811,NR_109898;NM_015291,NR_109898	chr1:15892577-15893764
AFE	chr1:+:DNAJC6:AFE:0	chr1	+	65730377:65730615	65775218:65775621	65830318:65830468	N/A	NM_014787,NM_001256864	chr1:65730377-65830468
A5SS	chr1:-:DOCK7:A5SS:0	chr1	-	62979142:62979277	62979115:62979277	62976248:62976344	N/A	NM_001271999,NM_033407;NM_001272000,NM_033407;NM_001272001,NM_033407	chr1:62976248-62979277
CAS	chr1:+:DPH2:CAS:0	chr1	+	44436638:44436861	44437059:44437742	44437830:44438006	N/A	NM_001039589,NM_001384	chr1:44436638-44438006
CAS	chr1:-:DSTYK:CAS:0	chr1	-	205119808:205119922	205117333:205117467	205111631:205116873	N/A	NM_199462,NM_015375	chr1:205111631-205119922
CAS	chr1:+:DTL:CAS:0	chr1	+	212208895:212209284	212216335:212216460	212218002:212218100	N/A	NM_001286229,NM_016448;NM_001286230,NM_016448	chr1:212208895-212218100
CAS	chr1:+:DTL:CAS:1	chr1	+	212240154:212240227	212241566:212241669	212241941:212242045	N/A	NM_001286229,NM_001286230;NM_001286229,NM_016448	chr1:212240154-212242045
AFE	chr1:-:DUSP10:AFE:0	chr1	-	221915323:221915518	221910185:221910242	221879437:221879808	N/A	NR_111940,NR_111939	chr1:221879437-221915518
CAS	chr1:+:DYRK3:CAS:0	chr1	+	206808881:206809125	206810220:206810313	206810995:206811106	N/A	NM_003582,NM_001004023	chr1:206808881-206811106
AFE	chr1:-:ECE1:AFE:0	chr1	-	21671869:21672034	21616857:21616982	21616563:21616649	N/A	NM_001113348,NM_001397	chr1:21616563-21672034
CAS	chr1:-:ECHDC2:CAS:0	chr1	-	53370318:53370505	53364846:53364896	53363109:53363156	N/A	NM_001198962,NM_001198961;NM_001198962,NM_018281	chr1:53363109-53370505
CAS	chr1:-:ECHDC2:CAS:1	chr1	-	53373540:53373626	53372191:53372283	53370706:53370762	N/A	NM_001198962,NM_001198961;NM_018281,NM_001198961	chr1:53370706-53373626
CAS	chr1:+:ECM1:CAS:0	chr1	+	150483352:150483674	150483933:150484307	150484828:150485048	N/A	NM_022664,NM_001202858;NM_022664,NM_004425	chr1:150483352-150485048
AFE	chr1:+:EDARADD:AFE:0	chr1	+	236557680:236557805	236558716:236558960	236572516:236572574	N/A	NM_145861,NM_080738	chr1:236557680-236572574
